product_id,source,source_url,retrieved_utc,sha256,file_size_bytes,selection_reason,licence_or_terms
euclid_q1_nisp_spectrum_2719226479673891422,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:29:19.949414Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,deef8758b3166358bbf7cdc140b23ee7a5d5b3d7fe325729a7035c594dc5626e,108045,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719226479673891422,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719229671676300982,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T16:32:23.764243Z.fits?dataset_id=euclid_combspec&hdu=22,2026-07-14T20:35:02.678788+00:00,065dc93ae296e3f0c8738dbcfbff4177a8570e2b0d36fc831851952d5e10cb18,108078,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719229671676300982,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719230526676765519,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:43:31.930458Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,08cf5367cb69d59725924c3827c8a2e9f958f739319bb4b7e562d7eb821c9574,107715,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719230526676765519,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719230948676762436,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:43:31.930458Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,a1ddd13e9f405315a6b20c951c77d7855a69f43a28fe4df5fe3ecb5c34b3d78a,108535,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719230948676762436,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719236367673651102,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:28:15.821511Z.fits?dataset_id=euclid_combspec&hdu=17,2026-07-14T20:35:02.678788+00:00,707c2547766e722e6a796e329d79985a93ae08a2c0786a5103307797745c226a,109411,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719236367673651102,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719236554673068224,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T16:26:31.642308Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,3416204ab1c0a6613363ca7a24a17ce2ebe84724e4c1a105b3c6bb140affa5ad,107014,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719236554673068224,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719237998673709711,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T16:26:31.642308Z.fits?dataset_id=euclid_combspec&hdu=12,2026-07-14T20:35:02.678788+00:00,9d05cae99d94932c10918a019214cf585331808dca45538aa10b08f97fb3855b,107596,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719237998673709711,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719238094673326280,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:26:58.699133Z.fits?dataset_id=euclid_combspec&hdu=19,2026-07-14T20:35:02.678788+00:00,eab3413a52883b04659517e996a4b18fa5288dd6c16340f937c5c6cbe4a9eb0e,108419,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719238094673326280,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719238833676736442,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:43:14.679228Z.fits?dataset_id=euclid_combspec&hdu=2,2026-07-14T20:35:02.678788+00:00,8599b9e2cc8e27c2aafa9b230ca0f6c3d8420974dbb855db125c46d6fa5677b9,106971,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719238833676736442,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
euclid_q1_nisp_spectrum_2719241244673162772,IRSA/Euclid-Q1,https://irsa.ipac.caltech.edu/api/spectrumdm/convert/euclid/q1/SIR/102160061/EUC_SIR_W-COMBSPEC_102160061_2024-11-05T17:26:10.321446Z.fits?dataset_id=euclid_combspec&hdu=10,2026-07-14T20:35:02.678788+00:00,a2bfd8a6a3ccc37fc16ec340854d7751049ddde6e2c844d64a99cfaaa7ecc756,108230,deterministic sorted subset (first 40 object_id values) of tile 102160061 catalogue sample; obs_publisher_did=ivo://ipac.irsa/euclid_sir_combined?102160061/2719241244673162772,"Euclid Q1 public data release (ESA Euclid Consortium), mirrored by IRSA/IPAC; standard IRSA archive usage terms apply, https://irsa.ipac.caltech.edu/holdings/copyright.html"
