object_id,ra,dec,tileid,spe_context_error_flag,spe_context_warning_flag,spe_error_flag,spe_warning_flag,spe_grism,spe_npix,spe_z,spe_z_err,spe_z_rel,spe_cont_snr,spe_subclass,best_line_snr
2719299719677502001,271.92997195540545,67.75020013581491,102160061,0,32768,0,2,RGS,81,1.607391595840454,0.0022464068606495857,0.6775784492492676,95.90718841552734,Lya_em_Scd,4.554563999176025
2719300100676597777,271.930010004539,67.6597777687547,102160061,0,32768,0,2,RGS,408,1.791978120803833,0.0006208141567185521,0.9963685274124146,118.0690689086914,Lya_abs_SB3,0.0
2719301866675980344,271.93018666019987,67.59803441801085,102160061,0,32768,0,2,RGS,50,1.6750025749206543,0.0021395504008978605,0.25052177906036377,22.572147369384766,BX_Scd,0.0
2719304071674758820,271.93040717637973,67.47588207195291,102160061,0,32768,0,2,RGS,229,1.4160895347595215,0.0006277904030866921,0.5608072280883789,15.332945823669434,Lya_abs_Scd,0.0
2719304489676656596,271.93044894108385,67.66565969992297,102160061,0,32768,0,2,RGS,304,2.2415459156036377,0.00020137800311204046,0.9978645443916321,372.0350646972656,Sbc,24.35158920288086
2719304971676064564,271.93049718446673,67.6064564292702,102160061,0,32768,0,2,RGS,371,0.9714125990867615,0.0007936322363093495,0.9755767583847046,32.101593017578125,BX_Scd,2.831700325012207
2719305616674378846,271.9305616026302,67.43788464711282,102160061,0,32768,0,2,RGS,427,2.596461057662964,0.0006848328048363328,0.987076461315155,133.40362548828125,Lya_em_SB1,2.1500284671783447
2719306574676127743,271.9306574614355,67.61277430526961,102160061,0,32768,0,2,RGS,432,4.315623760223389,0.0016559615032747388,0.11262194812297821,24.04338264465332,Lya_abs_SB3,0.0
2719307718673021476,271.9307718972367,67.3021476749066,102160061,0,32768,0,2,RGS,135,1.5798991918563843,0.0007432962884195149,0.9961509704589844,56.77238845825195,Lya_abs_SB3,4.103675842285156
2719307995673176939,271.93079959067296,67.31769390116055,102160061,0,32768,0,2,RGS,227,0.6445229053497314,0.00024514415417797863,0.9653924703598022,154.85252380371094,Sbc,5.6346516609191895
2719309765673715530,271.9309765710133,67.3715530751455,102160061,0,32768,0,2,RGS,390,0.29272234439849854,0.0004024275694973767,0.9221771955490112,250.2896270751953,Sbc,0.0
2719310073676466710,271.9310073066046,67.64667105350809,102160061,0,32768,0,2,RGS,285,0.4016503095626831,0.0002725239610299468,0.2989546060562134,52.76445388793945,BX_Scd,15.873147964477539
2719311964673903367,271.9311964635334,67.39033671557252,102160061,0,32768,0,2,RGS,426,2.6224491596221924,0.0006223161472007632,0.991188645362854,132.79269409179688,SB2,1.523918628692627
2719312219677081058,271.93122198401755,67.70810583629279,102160061,0,32768,0,2,RGS,218,0.5630676746368408,0.000312271760776639,0.8919010162353516,191.36375427246094,BX_Scd,5.102681636810303
2719312245676723556,271.93122456220635,67.67235563335105,102160061,0,32768,0,2,RGS,360,4.374955654144287,0.002282035769894719,0.05807872116565704,52.58372497558594,BX_Scd,-99.0
2719312576673283855,271.93125768886887,67.32838556063369,102160061,0,32768,0,2,RGS,416,1.8304914236068726,0.0008257394656538963,0.8555727601051331,nan,Lya_abs_SB1,6.56663179397583
2719312984674538430,271.9312984741985,67.4538430934449,102160061,0,32768,0,2,RGS,468,4.244344711303711,0.0020899861119687557,0.03109184466302395,203.21998596191406,BX_SB3,2.817739248275757
2719318980673756107,271.93189805702195,67.37561074279743,102160061,0,32768,0,2,RGS,360,1.0294206142425537,0.0004951655864715576,0.9878563284873962,55.77975082397461,BX_Scd,5.380202770233154
2719319627675918004,271.93196279750333,67.59180049931017,102160061,0,32768,0,2,RGS,299,1.4802275896072388,0.0006493109976872802,0.062476977705955505,66.99129486083984,BX_SB3,4.908255577087402
2719322057674345579,271.93220573224306,67.43455797873975,102160061,0,32768,0,2,RGS,466,0.631256103515625,0.00010174991621170193,0.6199622750282288,439.3094177246094,Lya_em_SB3,3.6373934745788574
2719322132674394973,271.93221321621974,67.43949732304097,102160061,0,32768,0,2,RGS,468,4.283297061920166,0.001930723199620843,0.2584474980831146,275.5182189941406,BX_SB3,3.155890941619873
2719322134675798973,271.93221341749575,67.57989731778298,102160061,0,32768,0,2,RGS,182,1.415847897529602,0.000354006391717121,0.1416860818862915,142.6330108642578,Irr_Blue,11.002751350402832
2719323180674503861,271.93231805429616,67.45038613275213,102160061,0,32768,0,2,RGS,429,0.7073634266853333,0.0005608691135421395,0.5129361748695374,37.319175720214844,Irr,0.0
2719323290673190946,271.93232904294393,67.31909464640269,102160061,0,32768,0,2,RGS,21,1.8023275136947632,0.000805176212452352,0.20999442040920258,16.62673568725586,Lya_em_SB3,10.540523529052734
2719323612673170985,271.9323612762602,67.31709852491231,102160061,0,32768,0,2,RGS,274,1.4172978401184082,0.0005497032543644309,0.9832677245140076,69.54100036621094,Lya_em_SB1,8.37152099609375
2719323661676643307,271.93236616500695,67.66433070548378,102160061,0,32768,0,2,RGS,340,2.497506618499756,0.00015011504001449794,0.9977178573608398,416.53961181640625,BX_Scd,0.0
2719324070676547235,271.9324070542919,67.6547235433921,102160061,0,32768,0,2,RGS,381,2.666180372238159,0.0009252076270058751,0.9295992851257324,45.216819763183594,Lya_em_SB1,4.051630973815918
2719324582676681695,271.93245820265196,67.66816954245584,102160061,0,32768,0,2,RGS,281,1.4612032175064087,0.0004991628229618073,0.9679141640663147,36.87150192260742,BX_Scd,7.185272693634033
2719325102676931832,271.9325102014489,67.69318329420213,102160061,0,32768,0,2,RGS,14,1.756744146347046,0.001927135162986815,0.5298022627830505,14.205397605895996,Sbc,0.0
2719328729676129938,271.9328729546873,67.61299385579228,102160061,0,32768,0,2,RGS,436,4.888199806213379,0.002762602875009179,0.08825690299272537,12.002490043640137,Lya_abs_SB3,-99.0
2719335757676959312,271.9335757231355,67.69593120898506,102160061,0,32768,0,2,RGS,239,0.48505279421806335,0.00012290246377233416,0.9757370948791504,139.42507934570312,BX_SB3,0.0
2719335986676157174,271.93359867116266,67.61571742574529,102160061,0,32768,0,2,RGS,347,1.3306572437286377,0.0005382280796766281,0.1267169713973999,46.950286865234375,Irr_Blue,0.0
2719336243676478267,271.9336243731542,67.64782670264859,102160061,0,32768,0,2,RGS,416,1.2502702474594116,0.0009305874118581414,0.08020396530628204,75.60236358642578,BX_Scd,4.1438798904418945
